week_id,holidays_score
201507,0
201508,0
201509,0
201510,0
201511,0
201512,0
201513,0
201514,0.07
201515,0.33
201516,0
201517,0
201518,1
201519,0
201520,0.07
201521,0
201522,0.07
201523,0.06
201524,0
201525,0
201526,0
201527,0
201528,0
201529,0
201530,0
201531,0
201532,0
201533,0.52
201534,0
201535,0
201536,0
201537,0
201538,0
201539,0
201540,0.07
201541,0
201542,0
201543,0
201544,0
201545,0.26
201546,0.06
201547,0
201548,0
201549,0
201550,0.52
201551,0
201552,1.33
201553,1
201601,0.32
201602,0
201603,0
201604,0
201605,0
201606,0
201607,0
201608,0
201609,0
201610,0
201611,0
201612,0.07
201613,0.33
201614,0
201615,0
201616,0
201617,0
201618,0.39
201619,0
201620,0.07
201621,0.06
201622,0
201623,0
201624,0
201625,0
201626,0
201627,0
201628,0
201629,0
201630,0
201631,0
201632,0
201633,0.52
201634,0
201635,0
201636,0
201637,0
201638,0
201639,0
201640,0.07
201641,0
201642,0
201643,0
201644,0.06
201645,0.06
201646,0
201647,0
201648,0
201649,0.26
201650,0
201651,0
201652,0.59
201701,0.58
201702,0
201703,0
201704,0
201705,0
201706,0
201707,0
201708,0
201709,0
201710,0
201711,0
201712,0
201713,0
201714,0
201715,0.07
201716,0.33
201717,0
201718,1.06
201719,0
201720,0
201721,0.07
201722,0
201723,0.07
201724,0.06
201725,0
201726,0
201727,0
201728,0
201729,0
201730,0
201731,0
201732,0
201733,0.52
201734,0
201735,0
201736,0
201737,0
201738,0
201739,0
201740,0.07
201741,0
201742,0
201743,0
201744,0.13
201745,0.06
201746,0
201747,0
201748,0
201749,0.26
201750,0
201751,0
201752,1.33
201801,1.32
201802,0
201803,0
201804,0
201805,0
201806,0
201807,0
201808,0
201809,0
201810,0
201811,0
201812,0
201813,0.07
201814,0.33
201815,0
201816,0
201817,0
201818,1.06
201819,0.07
201820,0
201821,0.07
201822,0.06
201823,0
201824,0
201825,0
201826,0
201827,0
201828,0
201829,0
201830,0
201831,0
201832,0
201833,0.52
201834,0
201835,0
201836,0
201837,0
201838,0
201839,0
201840,0.07
201841,0
201842,0
201843,0
201844,0.06
201845,0
201846,0
201847,0
201848,0
201849,0.26
201850,0
201851,0
201852,1.33
201901,1
201902,0
201903,0
201904,0
201905,0
201906,0
201907,0
201908,0
201909,0
201910,0
201911,0
201912,0
201913,0
201914,0
201915,0
201916,0.07
201917,0.33
201918,1.06
201919,0
201920,0
201921,0
201922,0.07
201923,0
201924,0.07
201925,0.06
201926,0
201927,0
201928,0
201929,0
201930,0
201931,0
201932,0
201933,0.52
201934,0
201935,0
201936,0
201937,0
201938,0
201939,0
201940,0.07
201941,0
201942,0
201943,0
201944,0.06
201945,0
201946,0.06
201947,0
201948,0
201949,0
201950,0
201951,0
201952,1.33
202001,1
202002,0.32
202003,0
202004,0
202005,0
202006,0
202007,0
202008,0
202009,0
202010,0
202011,0
202012,0
202013,0
202014,0
202015,0.07
202016,0.33
202017,0
202018,1
202019,0
202020,0
202021,0.07
202022,0
202023,0.07
202024,0.06
202025,0
202026,0
202027,0
202028,0
202029,0
202030,0
202031,0
202032,0
202033,0.52
202034,0
202035,0
202036,0
202037,0
202038,0
202039,0
202040,0.07
202041,0
202042,0
202043,0
202044,0
202045,0.26
202046,0.06
202047,0
202048,0
202049,0
202050,0.52
202051,0
202052,1.33
202053,1
202101,0.32
202102,0
202103,0
202104,0
202105,0
202106,0
202107,0
202108,0
202109,0
202110,0
202111,0
202112,0
202113,0.07
202114,0.33
202115,0
202116,0
202117,1
202118,0.06
202119,0.07
202120,0
202121,0.07
202122,0.06
202123,0
202124,0
202125,0
202126,0
202127,0
202128,0
202129,0
202130,0
202131,0
202132,0
202133,0.26
202134,0
202135,0
202136,0
202137,0
202138,0
202139,0
202140,0
202141,0
202142,0
202143,0
202144,0.06
202145,0.06
202146,0
202147,0
202148,0
202149,0.26
202150,0
202151,1
202152,1
202201,0.32
202202,0
202203,0
202204,0
202205,0
202206,0
202207,0
202208,0
202209,0
202210,0
202211,0
202212,0
202213,0
202214,0
202215,0.07
202216,0.33
202217,0
202218,0.32
202219,0
202220,0
202221,0.07
202222,0
202223,0.07
202224,0.06
202225,0
202226,0
202227,0
202228,0
202229,0
202230,0
202231,0
202232,0
202233,0.52
202234,0
202235,0
202236,0
202237,0
202238,0
202239,0
202240,0.07
202241,0
202242,0
202243,0
202244,0.06
202245,0.06
202246,0
202247,0
202248,0
202249,0.26
202250,0
202251,0
202252,0.59
202301,0.58
202302,0
202303,0
202304,0
202305,0
202306,0
202307,0
202308,0
202309,0
202310,0
202311,0
202312,0
202313,0
202314,0.07
202315,0.33
202316,0
202317,0
202318,1.06
202319,0
202320,0.07
202321,0
202322,0.07
202323,0.06
202324,0
202325,0
202326,0
202327,0
202328,0
202329,0
202330,0
202331,0
202332,0
202333,0.52
202334,0
202335,0
202336,0
202337,0
202338,0
202339,0
202340,0.07
202341,0
202342,0
202343,0
202344,0.06
202345,0.06
202346,0
202347,0
202348,0
202349,0.26
202350,0
202351,0
202352,1.33
202401,1.32
202402,0
202403,0
202404,0
202405,0
202406,0
202407,0
202408,0
202409,0
202410,0
202411,0
202412,0
202413,0.07
202414,0.33
202415,0
202416,0
202417,0
202418,1.06
202419,0.07
202420,0
202421,0.07
202422,0.06
202423,0
202424,0
202425,0
202426,0
202427,0
202428,0
202429,0
202430,0
202431,0
202432,0
202433,0.52
202434,0
202435,0
202436,0
202437,0
202438,0
202439,0
202440,0.07
202441,0
202442,0
202443,0
202444,0.06
202445,0
202446,0.06
202447,0
202448,0
202449,0
202450,0
202451,0
202452,1.33
202501,1
202502,0.32
202503,0
202504,0
202505,0
202506,0
202507,0
202508,0
202509,0
202510,0
202511,0
202512,0
202513,0
202514,0
202515,0
202516,0.07
202517,0.33
202518,1.06
202519,0
202520,0
202521,0
202522,0.07
202523,0
202524,0.07
202525,0.06
202526,0
202527,0
202528,0
202529,0
202530,0
202531,0
202532,0
202533,0.52
202534,0
202535,0
202536,0
202537,0
202538,0
202539,0
202540,0.07
202541,0
202542,0.26
202543,0
202544,0.06
202545,0
202546,0.06
202547,0
202548,0
202549,0
202550,0.26
202551,0
202552,1.33
202601,1
202602,0.32
202603,0
202604,0
202605,0
202606,0
202607,0
202608,0
202609,0
202610,0
202611,0
202612,0
202613,0
202614,0.07
202615,0.33
202616,0
202617,0
202618,1
202619,0
202620,0.07
202621,0
202622,0.07
202623,0.06
202624,0
202625,0
202626,0
202627,0
202628,0
202629,0
202630,0
202631,0
202632,0
202633,0.52
202634,0
202635,0
202636,0
202637,0
202638,0
202639,0
202640,0.07
202641,0
202642,0
202643,0
202644,0
202645,0.26
202646,0.06
202647,0
202648,0
202649,0
202650,0.52
202651,0
202652,1.33
202653,1
202701,0.32
202702,0
202703,0
202704,0
202705,0
202706,0
202707,0
202708,0
202709,0
202710,0
202711,0
202712,0.07
202713,0.33
202714,0
202715,0
202716,0
202717,1
202718,0.13
202719,0
202720,0.07
202721,0.06
202722,0
202723,0
202724,0
202725,0
202726,0
202727,0
202728,0
202729,0
202730,0
202731,0
202732,0
202733,0.26
202734,0
202735,0
202736,0
202737,0
202738,0
202739,0
202740,0
202741,0
202742,0
202743,0
202744,0.06
202745,0.06
202746,0
202747,0
202748,0
202749,0.26
202750,0
202751,1
202752,1
202801,0.32
202802,0
202803,0
202804,0
202805,0
202806,0
202807,0
202808,0
202809,0
202810,0
202811,0
202812,0
202813,0
202814,0
202815,0.07
202816,0.33
202817,0
202818,1.06
202819,0
202820,0
202821,0.07
202822,0
202823,0.07
202824,0.06
202825,0
202826,0
202827,0
202828,0
202829,0
202830,0
202831,0
202832,0
202833,0.52
202834,0
202835,0
202836,0
202837,0
202838,0
202839,0
202840,0.07
202841,0
202842,0
202843,0
202844,0.06
202845,0.06
202846,0
202847,0
202848,0
202849,0.26
202850,0
202851,0
202852,1.33
202901,1.32
202902,0
202903,0
202904,0
202905,0
202906,0
202907,0
202908,0
202909,0
202910,0
202911,0
202912,0
202913,0.07
202914,0.33
202915,0
202916,0
202917,0
202918,1.06
202919,0.07
202920,0
202921,0.07
202922,0.06
202923,0
202924,0
202925,0
202926,0
202927,0
202928,0
202929,0
202930,0
202931,0
202932,0
202933,0.52
202934,0
202935,0
202936,0
202937,0
202938,0
202939,0
202940,0.07
202941,0
202942,0
202943,0
202944,0.06
202945,0
202946,0
202947,0
202948,0
202949,0.26
202950,0
202951,0
202952,1.33
203001,1
203002,0
203003,0
203004,0
203005,0
203006,0
203007,0
203008,0
203009,0
203010,0
203011,0
203012,0
203013,0
203014,0
203015,0
203016,0.07
203017,0.33
203018,1.06
203019,0
203020,0
203021,0
203022,0.07
203023,0
203024,0.07
203025,0.06
203026,0
203027,0
203028,0
203029,0
203030,0
203031,0
203032,0
203033,0.52
203034,0
203035,0
203036,0
203037,0
203038,0
203039,0
203040,0.07
203041,0
203042,0
203043,0
203044,0.06
203045,0
203046,0.06
203047,0
203048,0
203049,0
203050,0
203051,0
203052,1.33